module,label
BR_module1,example_label
BR_module2,example_label
BR_module3,example_label
BR_module4,example_label
BR_module5,example_label
BR_module6,example_label
BR_module7,example_label
BR_module8,example_label
BR_module10,example_label
LG_module1,example_label
LG_module2,example_label
LG_module3,example_label
LG_module4,example_label
LG_module5,example_label
LG_module6,example_label
LG_module7,example_label
LG_module8,example_label
LG_module10,example_label
LG_module52,example_label
LV_module1,example_label
LV_module2,example_label
LV_module3,example_label
LV_module6,example_label
LV_module9,example_label
LV_module15,example_label
BR_module76,INSYN2B
BR_module91,ARMCX5-GPRASP2
BR_module91,GPRASP2
BR_module18,CEP295NL
LV_module26,IFITM2
LV_module23,CES1
LG_module49,ADAMTS8
BR_module21,SLC52A3
BR_module22,TEX261
BR_module58,GBP4
BR_module12,ADHFE1
LG_module23,NOTUM
LV_module12,PYHIN1
BR_module69,GARIN4
BR_module35,SLC38A11
LG_module76,PP2D1
LG_module43,CYP2D6
BR_module97,SPAAR
BR_module39,SLC5A12
BR_module17,LMNTD1
BR_module55,PLPPR5
LG_module35,PRICKLE2
BR_module14,DNASE1L3
BR_module43,SAMD14
LG_module53,PXDC1
LG_module59,TECRL
BR_module49,CALHM5
LG_module20,SCML4
BR_module36,GABRR2
BR_module99,SLC24A2
LG_module28,SPEF1
LV_module16,CPAMD8
BR_module51,C3orf70
LV_module7,GSTM1
BR_module67,GPR171
LV_module22,HLA-DMB
BR_module56,ST8SIA6
LG_module26,RNASE10
BR_module28,NEXMIF
BR_module87,ATP13A5
LV_module25,IRGM
LG_module86,GARIN1A
LG_module22,CERKL
BR_module70,SLC6A17
BR_module78,AJM1
LG_module60,SH2D5
BR_module84,FIGNL2
LV_module11,MNDA
BR_module64,CFAP96
BR_module71,CALHM6
LG_module75,MTCP1
LV_module14,MS4A4A
LG_module18,PDE1C
BR_module30,UPB1
LV_module5,PLSCR1
LG_module15,SASH3
BR_module47,SLC38A4
LV_module17,SLFN12
LG_module44,FLVCR2
BR_module41,PCDHB4
BR_module13,ADAMTS9
LV_module4,PSME2
BR_module54,KCNT1
BR_module9,CCDC181
LV_module13,PZP
BR_module93,EVPLL
BR_module72,STMP1
LG_module64,SOX12
BR_module46,TLCD2
BR_module45,ZNF85
BR_module48,EPHX3
BR_module83,GPR157
BR_module29,PGGHG
BR_module44,CFAP43
BR_module81,MPIG6B
LV_module28,APOL4
LG_module98,KCNH6
LG_module19,ST6GALNAC5
BR_module80,MFRP
BR_module38,CRISPLD1
BR_module11,CRISPLD2
LG_module55,ZMYND15
BR_module25,ECRG4
BR_module26,ABHD1
BR_module15,PLEKHA8
BR_module90,ALKBH6
LV_module8,TRIM5
LV_module20,CES2
BR_module37,STPG1
BR_module33,NUP210L
LG_module25,SLC16A5
LV_module21,SLC28A2
BR_module27,CD101
LG_module11,ITM2A
